Power_density,clamping_distance,time,Temperature
260,1.28,5550,429.691471479524
260,1.28,5600,429.735813999972
260,1.28,5650,429.778442838466
260,1.28,5700,429.819357995005
260,1.28,5750,429.85855946959
260,1.28,5800,429.896047262219
260,1.28,5850,429.931821372894
260,1.28,5900,429.967124143649
260,1.28,5950,430.002499750144
260,1.28,6000,430.036596969714
280,1.24,0,20.5629169911065
280,1.24,25,306.88388121472
280,1.24,50,328.942178744591
280,1.24,75,340.702621538768
280,1.24,100,349.521612979946
280,1.24,125,356.754648340059
280,1.24,150,362.876263978065
280,1.24,175,368.374104794731
280,1.24,200,372.363423330954
280,1.24,225,376.352741867176
280,1.24,250,380.342060403398
280,1.24,275,383.3705178902
280,1.24,300,386.312766934455
280,1.24,325,389.25501597871
280,1.24,350,391.456201307022
280,1.24,375,393.347853679787
280,1.24,400,395.239506052551
280,1.24,425,397.131158425316
280,1.24,450,399.02281079808
280,1.24,475,401.107359489525
280,1.24,500,403.118123674117
280,1.24,525,404.633359849041
280,1.24,550,406.148596023964
280,1.24,575,407.663832198887
280,1.24,600,409.17906837381
280,1.24,625,410.694430316302
280,1.24,650,412.209907851719
280,1.24,675,413.380254551751
280,1.24,700,414.492637420148
280,1.24,725,415.605020288545
280,1.24,750,416.717403156941
280,1.24,775,417.829786025338
280,1.24,800,418.942168893735
280,1.24,825,420.010798140973
280,1.24,850,421.000642726978
280,1.24,875,421.960916622854
280,1.24,900,422.891619828602
280,1.24,925,423.792752344222
280,1.24,950,424.664314169714
280,1.24,975,425.506305305077
280,1.24,1000,426.318725750311
280,1.24,1025,427.10509030571
280,1.24,1050,427.867895363679
280,1.24,1075,428.603061347935
280,1.24,1100,429.310588258478
280,1.24,1125,429.990476095309
280,1.24,1150,430.642724858428
280,1.24,1175,431.267334547833
280,1.24,1200,431.864305163526
280,1.24,1225,432.448679948118
280,1.24,1250,433.031143388215
280,1.24,1275,433.594235016452
280,1.24,1300,434.13795483283
280,1.24,1325,434.662302837349
280,1.24,1350,435.167279030008
280,1.24,1375,435.652883410808
280,1.24,1400,436.119115979749
280,1.24,1425,436.576606485285
280,1.24,1450,437.032904722891
280,1.24,1475,437.475672902054
280,1.24,1500,437.904911022773
280,1.24,1525,438.320619085049
280,1.24,1550,438.722797088881
280,1.24,1575,439.11144503427
280,1.24,1600,439.486562921215
280,1.24,1625,439.85206179502
280,1.24,1650,440.211602593947
280,1.24,1675,440.561314514327
280,1.24,1700,440.901589978772
280,1.24,1725,441.232821409892
280,1.24,1750,441.555401230299
280,1.24,1775,441.869721862603
280,1.24,1800,442.176175729415
280,1.24,1825,442.474938421991
280,1.24,1850,442.766199397713
280,1.24,1875,443.05056567952
280,1.24,1900,443.328407933812
280,1.24,1925,443.600096826989
280,1.24,1950,443.866003025451
280,1.24,1975,444.126497195597
280,1.24,2000,444.381950003828
300,1.2,0,20.2825510349679
300,1.2,10,264.864417811132
300,1.2,20,310.857079802789
300,1.2,30,327.636269509588
300,1.2,40,336.906800654476
300,1.2,50,343.19259290548
300,1.2,60,348.832122799999
300,1.2,70,353.535626480273
300,1.2,80,357.638358791682
300,1.2,90,361.241517347148
300,1.2,100,364.875032666073
300,1.2,110,368.334318080799
300,1.2,120,371.243736709604
300,1.2,130,374.153155338409
300,1.2,140,377.062573967214
300,1.2,150,379.168471400748
300,1.2,160,381.238842324921
300,1.2,170,383.312234599171
300,1.2,180,385.389193792625
300,1.2,190,387.46615298608
300,1.2,200,389.543112179534
300,1.2,210,391.416293250514
300,1.2,220,392.97306765572
300,1.2,230,394.529842060926
300,1.2,240,396.086616466132
300,1.2,250,397.643390871338
300,1.2,260,399.458611383129
300,1.2,270,401.338555705299
300,1.2,280,402.769241720531
300,1.2,290,404.105174566628
300,1.2,300,405.441107412726
300,1.2,310,406.777040258823
300,1.2,320,408.112973104921
300,1.2,330,409.448905951018
300,1.2,340,410.784927056163
300,1.2,350,412.120973133154
300,1.2,360,413.457019210144
300,1.2,370,414.537284655953
300,1.2,380,415.563603352121
300,1.2,390,416.58992204829
300,1.2,400,417.616240744459
300,1.2,410,418.642559440628
300,1.2,420,419.668878136797
300,1.2,430,420.695196832966
300,1.2,440,421.721515529135
300,1.2,450,422.747834225304
300,1.2,460,423.559319312196
300,1.2,470,424.325493794918
300,1.2,480,425.09166827764
300,1.2,490,425.857842760363
300,1.2,500,426.624017243085
300,1.2,510,427.390191725807
300,1.2,520,428.156366208529
300,1.2,530,428.922540691252
300,1.2,540,429.688715173974
300,1.2,550,430.347691966451
300,1.2,560,430.984059670309
300,1.2,570,431.620427374166
300,1.2,580,432.256795078024
300,1.2,590,432.893162781881
300,1.2,600,433.529530485739
300,1.2,610,434.165898189596
300,1.2,620,434.802265893454
300,1.2,630,435.438633597311
300,1.2,640,435.978526635322
300,1.2,650,436.498072180167
300,1.2,660,437.017617725011
300,1.2,670,437.537163269856
300,1.2,680,438.056708814701
300,1.2,690,438.576254359545
300,1.2,700,439.09579990439
300,1.2,710,439.615345449235
300,1.2,720,440.134890994079
300,1.2,730,440.625713733578
300,1.2,740,441.104015617525
300,1.2,750,441.575238047402
300,1.2,760,442.039381023208
300,1.2,770,442.496444544943
300,1.2,780,442.946428612608
300,1.2,790,443.389333226201
300,1.2,800,443.825158385725
300,1.2,810,444.253904091178
300,1.2,820,444.67582331922
300,1.2,830,445.090773370868
300,1.2,840,445.498706320873
300,1.2,850,445.899622169236
300,1.2,860,446.293520915955
300,1.2,870,446.680402561032
300,1.2,880,447.060267104466
300,1.2,890,447.433114546257
300,1.2,900,447.798944886406
320,1.16,0,20.1690889784112
320,1.16,5,214.964768234581
320,1.16,10,273.761818857835
320,1.16,15,304.831151000057
320,1.16,20,322.268009077844
320,1.16,25,333.151162291616
320,1.16,30,340.152555580698
320,1.16,35,345.060739877358
320,1.16,40,349.864137613413
320,1.16,45,353.902335211337
320,1.16,50,357.295648339914
320,1.16,55,360.496602975919
320,1.16,60,363.090695043488
320,1.16,65,365.678221662758
320,1.16,70,368.265748282029
320,1.16,75,370.433649557259
320,1.16,80,372.38291731312
320,1.16,85,374.33218506898
320,1.16,90,376.28145282484
320,1.16,95,378.230720580701
320,1.16,100,380.179988336561
320,1.16,105,382.129256092422
320,1.16,110,383.683841512436
320,1.16,115,385.235950817019
320,1.16,120,386.788060121602
320,1.16,125,388.340169426185
320,1.16,130,389.892278730768
320,1.16,135,391.444388035351
320,1.16,140,392.87282688815
320,1.16,145,394.050265380689
320,1.16,150,395.227703873229
320,1.16,155,396.405142365769
320,1.16,160,397.582580858308
320,1.16,165,398.998568575529
320,1.16,170,400.452508973373
320,1.16,175,401.906449371216
320,1.16,180,403.360389769059
320,1.16,185,404.814330166902
320,1.16,190,406.160587106665
320,1.16,195,407.288290734927
320,1.16,200,408.415994363188
320,1.16,205,409.54369799145
320,1.16,210,410.671401619711
320,1.16,215,411.799105247973
320,1.16,220,412.926808876234
320,1.16,225,414.054512504496
320,1.16,230,415.182216132758
320,1.16,235,416.309919761019
320,1.16,240,417.371861154419
320,1.16,245,418.300332148029
320,1.16,250,419.22880314164
320,1.16,255,420.15727413525
320,1.16,260,421.08574512886
320,1.16,265,422.014216122471
320,1.16,270,422.942687116081
320,1.16,275,423.871158109692
320,1.16,280,424.799629103302
320,1.16,285,425.728100096912
320,1.16,290,426.595535924572
320,1.16,295,427.339095366068
320,1.16,300,428.082654807563
320,1.16,305,428.826214249059
320,1.16,310,429.569773690555
320,1.16,315,430.313333132051
320,1.16,320,431.056892573546
320,1.16,325,431.800452015042
320,1.16,330,432.544011456538
320,1.16,335,433.287570898034
320,1.16,340,434.012781120707
320,1.16,345,434.69359222207
320,1.16,350,435.363640458139
320,1.16,355,436.022925828913
320,1.16,360,436.671448334394
320,1.16,365,437.30920797458
320,1.16,370,437.936204749472
320,1.16,375,438.552438659069
320,1.16,380,439.157909703373
320,1.16,385,439.752617882382
320,1.16,390,440.337957094092
320,1.16,395,440.91590621876
320,1.16,400,441.483910078953
